Time,Open,Yesterday,Diff,MKT
2018-02-20 15:30,864.22,875.81,-11.59,-1.323346388
2018-02-20 15:20,864.02,875.81,-11.79,-1.346182391
2018-02-20 15:10,861.5,875.81,-14.31,-1.633916032
2018-02-20 15:00,864.68,875.81,-11.13,-1.27082358
2018-02-20 14:50,865.49,875.81,-10.32,-1.178337767
2018-02-20 14:40,867.75,875.81,-8.06,-0.920290931
2018-02-20 14:30,869.18,875.81,-6.63,-0.757013507
2018-02-20 14:20,871.13,875.81,-4.68,-0.534362476
2018-02-20 14:10,870.78,875.81,-5.03,-0.574325482
2018-02-20 14:00,871.07,875.81,-4.74,-0.541213277
2018-02-20 13:50,872.2,875.81,-3.61,-0.412189859
2018-02-20 13:40,871.23,875.81,-4.58,-0.522944474
2018-02-20 13:30,870.26,875.81,-5.55,-0.63369909
2018-02-20 13:20,869.04,875.81,-6.77,-0.77299871
2018-02-20 13:10,869.38,875.81,-6.43,-0.734177504
2018-02-20 13:00,869.18,875.81,-6.63,-0.757013507
2018-02-20 12:50,868.95,875.81,-6.86,-0.783274911
2018-02-20 12:40,868.91,875.81,-6.9,-0.787842112
2018-02-20 12:30,869.07,875.81,-6.74,-0.769573309
2018-02-20 12:20,869.29,875.81,-6.52,-0.744453706
2018-02-20 12:10,869.97,875.81,-5.84,-0.666811295
2018-02-20 12:00,869.95,875.81,-5.86,-0.669094895
2018-02-20 11:50,870.97,875.81,-4.84,-0.552631278
2018-02-20 11:40,871.16,875.81,-4.65,-0.530937075
2018-02-20 11:30,868.89,875.81,-6.92,-0.790125712
2018-02-20 11:20,869.43,875.81,-6.38,-0.728468503
2018-02-20 11:10,869.02,875.81,-6.79,-0.77528231
2018-02-20 11:00,869.29,875.81,-6.52,-0.744453706
2018-02-20 10:50,870.79,875.81,-5.02,-0.573183681
2018-02-20 10:40,873.07,875.81,-2.74,-0.312853244
2018-02-20 10:30,871.96,875.81,-3.85,-0.439593062
2018-02-20 10:20,871.33,875.81,-4.48,-0.511526473
2018-02-20 10:10,869.71,875.81,-6.1,-0.696498099
2018-02-20 10:00,873.89,875.81,-1.92,-0.219225631
2018-02-20 09:50,874.24,875.81,-1.57,-0.179262625
2018-02-20 09:40,875.08,875.81,-0.73,-0.083351412
2018-02-20 09:30,874.06,875.81,-1.75,-0.199815028
2018-02-20 09:20,876.62,875.81,0.81,0.092485813
2018-02-20 09:10,871.72,875.81,-4.09,-0.466996266
2018-02-20 09:00,873.99,875.81,-1.82,-0.20780763
2018-02-14 15:30,846.89,829.39,17.5,2.109984446
2018-02-14 15:20,846.56,829.39,17.17,2.070196168
2018-02-14 15:10,845.05,829.39,15.66,1.888134653
2018-02-14 15:00,843.2,829.39,13.81,1.665079155
2018-02-14 14:50,843.48,829.39,14.09,1.698838906
2018-02-14 14:40,842.08,829.39,12.69,1.53004015
2018-02-14 14:30,843.69,829.39,14.3,1.724158719
2018-02-14 14:20,841.58,829.39,12.19,1.46975488
2018-02-14 14:10,841.48,829.39,12.09,1.457697826
2018-02-14 14:00,841.45,829.39,12.06,1.45408071
2018-02-14 13:50,840.28,829.39,10.89,1.313013178
2018-02-14 13:40,838.05,829.39,8.66,1.044140875
2018-02-14 13:30,836.98,829.39,7.59,0.915130397
2018-02-14 13:20,836.22,829.39,6.83,0.823496787
2018-02-14 13:10,835.62,829.39,6.23,0.751154463
2018-02-14 13:00,836.4,829.39,7.01,0.845199484
2018-02-14 12:50,835.9,829.39,6.51,0.784914214
2018-02-14 12:40,836.54,829.39,7.15,0.86207936
2018-02-14 12:30,835.14,829.39,5.75,0.693280604
2018-02-14 12:20,834.02,829.39,4.63,0.558241599
2018-02-14 12:10,834.7,829.39,5.31,0.640229566
2018-02-14 12:00,834.43,829.39,5.04,0.607675521
2018-02-14 11:50,833.67,829.39,4.28,0.51604191
2018-02-14 11:40,834.12,829.39,4.73,0.570298653
2018-02-14 11:30,833.33,829.39,3.94,0.475047927
2018-02-14 11:20,834.07,829.39,4.68,0.564270126
2018-02-14 11:10,834.96,829.39,5.57,0.671577907
2018-02-14 11:00,836.74,829.39,7.35,0.886193467
2018-02-14 10:50,836.75,829.39,7.36,0.887399173
2018-02-14 10:40,836.27,829.39,6.88,0.829525314
2018-02-14 10:30,837.42,829.39,8.03,0.968181435
2018-02-14 10:20,836.64,829.39,7.25,0.874136414
2018-02-14 10:10,833.74,829.39,4.35,0.524481848
2018-02-14 10:00,835.63,829.39,6.24,0.752360168
2018-02-14 09:50,838.21,829.39,8.82,1.063432161
2018-02-14 09:40,837.57,829.39,8.18,0.986267016
2018-02-14 09:30,833.17,829.39,3.78,0.45575664
2018-02-14 09:20,831.17,829.39,1.78,0.214615561
2018-02-14 09:10,836.02,829.39,6.63,0.799382679
2018-02-14 09:00,835.6,829.39,6.21,0.748743052